iter	MultiClass
308	0.303633249
309	0.3032272563
310	0.3027930343
311	0.3024263503
312	0.3019527315
313	0.3008332776
314	0.3001983683
315	0.2998200045
316	0.2995371557
317	0.299298033
318	0.2989813045
319	0.2986820674
320	0.2984519869
321	0.2981056804
322	0.297625216
323	0.2967070621
324	0.2961627064
325	0.2954398745
326	0.2950305591
327	0.2946387151
328	0.2925193745
329	0.2921820834
330	0.2915902992
331	0.2911597054
332	0.2903249091
333	0.2896197318
334	0.2889148314
335	0.2885144019
336	0.2877523583
337	0.2870667748
338	0.2866574498
339	0.2863416524
340	0.2860616521
341	0.2858370842
342	0.2854049557
343	0.2847782139
344	0.2842390588
345	0.2839277274
346	0.2833149182
347	0.2822721329
348	0.2818440656
349	0.2815067509
350	0.2812633069
351	0.2810245728
352	0.2806896968
353	0.2803014904
354	0.2800518766
355	0.2795770815
356	0.2792693988
357	0.2783867491
358	0.2776114164
359	0.2773178004
360	0.2767393009
361	0.2764450536
362	0.2762591724
363	0.2758142649
364	0.2749761327
365	0.274482967
366	0.2741438646
367	0.2737000416
368	0.2731646273
369	0.2723194452
370	0.2712696357
371	0.2707240384
372	0.2704099273
373	0.2701800731
374	0.2698575691
375	0.2696217808
376	0.2693580616
377	0.2688426674
378	0.2686253571
379	0.2682430811
380	0.2677807711
381	0.2671597619
382	0.2669436075
383	0.26557055
384	0.2651774705
385	0.2650079888
386	0.263974686
387	0.2637271624
388	0.2630102538
389	0.262411003
390	0.2620299312
391	0.261800849
392	0.2616169476
393	0.2613391846
394	0.2600459012
395	0.2598009502
396	0.25947229
397	0.2592159711
398	0.2590150529
399	0.2584119139
400	0.2581244256
401	0.2577092709
402	0.2573676861
403	0.2569590658
404	0.2567305388
405	0.2564912989
406	0.2562935365
407	0.2559959826
408	0.2555206003
409	0.2553527712
410	0.2545299847
411	0.2542993773
412	0.2537822526
413	0.2535329975
414	0.2530036281
415	0.2525147938
416	0.2522430681
417	0.2518649873
418	0.2512536549
419	0.2510491425
420	0.2507311325
421	0.2499135056
422	0.2482463296
423	0.2479738276
424	0.2476870656
425	0.2473029107
426	0.2463243239
427	0.2459666637
428	0.2457418785
429	0.245594882
430	0.2454129373
431	0.2452362533
432	0.2450320779
433	0.2448990458
434	0.2446664082
435	0.2443631608
436	0.2441348304
437	0.2433081041
438	0.2430304388
439	0.2426714283
440	0.242462626
441	0.2422326621
442	0.2419312727
443	0.2414139334
444	0.2411890422
445	0.2409070763
446	0.2400129902
447	0.2395756685
448	0.2394201209
449	0.2390416594
450	0.2378334801
451	0.2362679456
452	0.2360760309
453	0.2357837367
454	0.2355668054
455	0.2349388942
456	0.2346185847
457	0.2343013662
458	0.2335726279
459	0.2328109912
460	0.2319314359
461	0.2316919383
462	0.2313418247
463	0.2310429796
464	0.2307407524
465	0.2305912516
466	0.230320377
467	0.2295758119
468	0.2290748616
469	0.2287912879
470	0.2286030476
471	0.2283684821
472	0.2281980357
473	0.2280254119
474	0.2278793467
475	0.2268857764
476	0.2266866538
477	0.2264828656
478	0.2263126264
479	0.2261142942
480	0.2256510849
481	0.2252992255
482	0.2247592138
483	0.2245410912
484	0.224376276
485	0.2240084078
486	0.2237887156
487	0.2234065986
488	0.2232064251
489	0.2228008605
490	0.2226440966
491	0.2223153728
492	0.2221477607
493	0.2219206389
494	0.2217251686
495	0.2215169273
496	0.2213313591
497	0.2203506214
498	0.2201939663
499	0.2198254648
500	0.2195612939
501	0.2189538807
502	0.2183652933
503	0.2181556536
504	0.2170685452
505	0.2166928017
506	0.2164164144
507	0.2158590878
508	0.2156774282
509	0.2154996551
510	0.2153547768
511	0.2151623322
512	0.2150000293
513	0.2148414947
514	0.2145043749
515	0.2142533633
516	0.2136600589
517	0.2134550314
518	0.2124580542
519	0.2122227259
520	0.2115734803
521	0.2112847171
522	0.2111053462
523	0.2108919847
524	0.2106834456
525	0.210392976
526	0.2097241342
527	0.209558242
528	0.2092835112
529	0.2090489939
530	0.2088936603
531	0.2086689851
532	0.2083026246
533	0.2079186041
534	0.2077297188
535	0.2075550655
536	0.2073881363
537	0.2070829226
538	0.2069102357
539	0.2064544622
540	0.2062290962
541	0.2059229406
542	0.2055903801
543	0.2054039723
544	0.2051677676
545	0.204796364
546	0.2044202989
547	0.2040508918
548	0.2036650746
549	0.20352141
550	0.202184064
551	0.2020358891
552	0.2019097913
553	0.2017831914
554	0.2015279448
555	0.2012455389
556	0.2008905392
557	0.2007818806
558	0.2006025313
559	0.2002146655
560	0.2000795408
561	0.1998927445
562	0.1997301526
563	0.1995410841
564	0.19891263
565	0.1987702316
566	0.1985073204
567	0.1981612245
568	0.1979659598
569	0.1977480614
570	0.1975859463
571	0.1972469647
572	0.1968418867
573	0.1965143468
574	0.1963970116
575	0.1962650269
576	0.1960791649
577	0.1959536975
578	0.1957028664
579	0.1955513498
580	0.195373213
581	0.194826188
582	0.194692523
583	0.1945285155
584	0.1940628859
585	0.1939429243
586	0.193814312
587	0.193682005
588	0.1935045
589	0.1933898701
590	0.1931870428
591	0.1928649111
592	0.1927398337
593	0.1925788447
594	0.1922878997
595	0.1919084997
596	0.1917448491
597	0.1914987381
598	0.1907035177
599	0.1904374453
600	0.1902306898
601	0.1900268049
602	0.1898353807
603	0.1896587408
604	0.1895343383
605	0.1893545576
606	0.1892285255
607	0.1890643052
608	0.188868525
609	0.1887224633
610	0.1886130102
611	0.1879658851
612	0.187849966
613	0.1876936689
614	0.1875725388
615	0.1873470852
616	0.1871048913
617	0.1869741357
618	0.186854816
619	0.1865213288
620	0.1864217896
621	0.185637712
622	0.1854714511
623	0.185380325
624	0.1852908778
625	0.1850705574
626	0.1849306153
627	0.1846663717
628	0.1845135728
629	0.1843890491
630	0.1840140183
631	0.183547573
632	0.1834264426
633	0.1832262986
634	0.1824427558
635	0.1823359125
636	0.1821868685
637	0.1814539149
638	0.1812084631
639	0.1800253799
640	0.1799197924
641	0.1798166372
642	0.1795724452
643	0.1794375498
644	0.1793178134
645	0.1792049854
646	0.1790303431
647	0.1789183243
648	0.1787826773
649	0.1786816678
650	0.1783935867
651	0.178297676
652	0.1776615162
653	0.1775564309
654	0.1774009502
655	0.1767000578
656	0.1765888121
657	0.1764846276
658	0.1763408519
659	0.1762236923
660	0.1760437086
661	0.175886112
662	0.1753307123
663	0.1741943343
664	0.1738332487
665	0.1733974852
666	0.1730948293
667	0.1729835911
668	0.1726601317
669	0.1722745884
670	0.1721518506
671	0.1717396863
672	0.1715620985
673	0.1711889395
674	0.1706850881
675	0.1705558563
676	0.1704618968
677	0.1702813888
678	0.1699610696
679	0.16985151
680	0.1697223422
681	0.1695858068
682	0.1694046214
683	0.1693016649
684	0.1691833808
685	0.169067792
686	0.1687533107
687	0.1686360696
688	0.1685569376
689	0.1684537998
690	0.1683230536
691	0.1682290527
692	0.1679752635
693	0.1678089632
694	0.1677085743
695	0.1675393426
696	0.1671944863
697	0.166858013
698	0.1667444445
699	0.1665554289
700	0.1662731655
701	0.1661255929
702	0.1659757207
703	0.165864991
704	0.1656378115
705	0.1654274777
706	0.1652368155
707	0.1650714323
708	0.1648323282
709	0.1645928385
710	0.1645037617
711	0.1642741702
712	0.1641595198
713	0.1629973431
714	0.162773432
715	0.1626430423
716	0.162541728
717	0.1621392962
718	0.1619527881
719	0.161857305
720	0.1616828998
721	0.1615433569
722	0.1613416039
723	0.1612116563
724	0.1610874136
725	0.160946615
726	0.1608456328
727	0.1606823887
728	0.16059546
729	0.1604236156
730	0.1603475266
731	0.1601056778
732	0.159847625
733	0.1594039639
734	0.1591048647
735	0.1590140092
736	0.1588693119
737	0.1585506385
738	0.1584469248
739	0.1580691241
740	0.1579585166
741	0.1578063435
742	0.1576664802
743	0.1575784948
744	0.1572955415
745	0.1572120341
746	0.1571232412
747	0.1568962929
748	0.1566894287
749	0.1565984624
750	0.1563901919
751	0.1563129215
752	0.1561279197
753	0.1560263393
754	0.1559191942
755	0.155662141
756	0.1555141839
757	0.1554297622
758	0.1553048836
759	0.1551302752
760	0.154957285
761	0.1548370568
762	0.1547338966
763	0.1546525276
764	0.1545273639
765	0.1544441059
766	0.1543273627
767	0.1541146733
768	0.1540120897
769	0.1539445276
770	0.1538162573
771	0.1536870609
772	0.1533801382
773	0.1532423394
774	0.1530812028
775	0.1529769429
776	0.1528832014
777	0.1526292787
778	0.152387356
779	0.1522430742
780	0.1519848554
781	0.1519022907
782	0.1517014253
783	0.1516084445
784	0.1511932994
785	0.1510897872
786	0.1509992596
787	0.1505827366
788	0.1504690348
789	0.1503196274
790	0.1502035389
791	0.1495762561
792	0.1493944965
793	0.149073971
794	0.1489738862
795	0.1488716202
796	0.1483216992
797	0.1482411383
798	0.1481573384
799	0.1480769197
800	0.1480021687
801	0.1478531696
802	0.1477708188
803	0.1473080284
804	0.1472507104
805	0.1471695525
806	0.1468793057
807	0.1466036572
808	0.1465219445
809	0.1464633769
810	0.1463806654
811	0.1462815564
812	0.1462039284
813	0.1460415603
814	0.1456067258
815	0.1453448916
816	0.1450084508
817	0.1448695344
818	0.1447529977
819	0.1446290054
820	0.1444018647
821	0.1443075959
822	0.1441737733
823	0.1440890644
824	0.1440132289
825	0.1437668788
826	0.1436760716
827	0.1435943279
828	0.1431338805
829	0.1428926473
830	0.1426459267
831	0.1425509078
832	0.1424443224
833	0.1421714516
834	0.1421028931
835	0.1420013737
836	0.1418737617
837	0.1417330429
838	0.1413471216
839	0.1411349717
