<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
AUDUSD,D,20170207,000000,0.7657900,0.7680900,0.7602000,0.7632000,1517057
AUDUSD,D,20170208,000000,0.7631400,0.7665700,0.7607000,0.7636600,1460542
AUDUSD,D,20170209,000000,0.7636400,0.7664000,0.7606000,0.7628000,1381210
AUDUSD,D,20170210,000000,0.7628300,0.7688700,0.7614000,0.7675200,1332682
AUDUSD,D,20170211,000000,0.7675600,0.7681100,0.7666000,0.7676200,28708
AUDUSD,D,20170212,000000,0.7673200,0.7684000,0.7672500,0.7677700,901
AUDUSD,D,20170213,000000,0.7679000,0.7684000,0.7627000,0.7644900,1205354
AUDUSD,D,20170214,000000,0.7644700,0.7696500,0.7615000,0.7655500,1427995
AUDUSD,D,20170215,000000,0.7655900,0.7718000,0.7644000,0.7716500,1260168
AUDUSD,D,20170216,000000,0.7715000,0.7732100,0.7680000,0.7692500,1459865
AUDUSD,D,20170217,000000,0.7692000,0.7712700,0.7653000,0.7667500,1280428
AUDUSD,D,20170218,000000,0.7668300,0.7671700,0.7654900,0.7663400,29533
